STT,Câu hỏi,Câu trả lời từ Base Vietnamese Bi-Encoder,Câu trả lời ground truth,Answer relevance
11,Nguyên tắc áp dụng hình phạt chính và hình phạt bổ sung đối với một tội phạm được quy định như thế nào?,"Đối với mỗi tội phạm, người phạm tội (cá nhân hoặc pháp nhân thương mại) chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung.","Các hình phạt đối với cá nhân người phạm tội Các hình phạt đối với cá nhân người phạm tội gồm hình phạt chính và hình phạt bổ sung. Nguyên tắc cơ bản của việc áp dụng các hình phạt đối với cá nhân người phạm tội là: Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung. a. Các hình phạt chính bao gồm: Cảnh cáo; Phạt tiền; Cải tạo không giam giữ; Trục xuất; Tù có thời hạn; Tù chung thân; Tử hình. Cảnh cáo: Hình phạt cảnh cáo là sự khiển trách công khai của Nhà nước do Tòa án tuyên đối với người bị kết án. Đây là hình phạt chính nhẹ nhất trong các hình phạt chính. Theo quy định tại Điều 34 BLHS 2015, cảnh cáo được áp dụng đối với người phạm tội ít nghiêm trọng và có nhiều tình tiết giảm nhẹ, nhưng chưa đến mức miễn hình phạt.",1.0
12,Nguyên tắc phân hóa trách nhiệm hình sự đòi hỏi việc xác định tội phạm và hình phạt phải dựa trên những yếu tố nào?,"Theo nguyên tắc phân hóa trách nhiệm hình sự, việc xác định tội phạm và hình phạt phải dựa trên các yếu tố sau: * Mức độ gây nguy hiểm cho xã hội của tội phạm gây ra. * Nhân thân của chủ thể phạm tội. * Hoàn cảnh của chủ thể phạm tội.","7.1.2.5 Nguyên tắc phân hóa trách nhiệm hình sự Chức năng trừng phạt và giáo dục của luật hình sự chỉ có thể thành hiện thực khi trách nhiệm hình sự được xác định đúng cho từng chủ thể phạm tội. Nguyên tắc phân hóa trách nhiệm hình sự, vì vậy là một trong những nguyên tắc đặc thù của ngành Luật Hình sự. Theo đó việc xác định tội phạm và hình phạt áp dụng cho chủ thể phạm tội phải tương xứng với mức độ gây nguy hiểm cho xã hội của tội phạm gây ra và phải phù hợp với nhân thân cũng như hoàn cảnh của chủ thể phạm tội. Việc phân hóa trách nhiệm hình sự trong Luật Hình sự được thể hiện trên các nội dung sau: + Luật Hình sự phân loại tội phạm thành các nhóm tội khác nhau để có các quy định khác nhau về trách nhiệm hình sự; + Luật Hình sự đa dạng hóa hệ thống hình phạt; + Luật Hình sự phân hóa chế tài của mỗi tội thành nhiều khung hình phạt khác nhau; + Luật Hình sự xác định các loại người khác",1.0
13,Mối quan hệ giữa việc phản ánh hành vi tham nhũng của công dân với Ban thanh tra nhân dân và cơ quan nhà nước là gì?,"Công dân phản ánh hành vi tham nhũng với Ban thanh tra nhân dân hoặc tổ chức mà mình là thành viên. Sau đó, Ban thanh tra nhân dân hoặc tổ chức đó có trách nhiệm kiến nghị với cơ quan nhà nước có thẩm quyền để xem xét, giải quyết theo quy định của pháp luật. Việc phản ánh này phải đảm bảo tính khách quan và trung thực.","2012) mỗi công dân đều có trách nhiệm: - Chấp hành nghiêm chỉnh pháp luật về phòng, chống tham nhũng. - Lên án, đấu tranh với những người có hành vi tham nhũng. - Phản ánh với Ban thanh tra nhân dân, tổ chức mà mình là thành viên về hành vi tham nhũng, vụ việc tham nhũng để Ban thanh tra nhân dân, tổ chức đó kiến nghị với cơ quan nhà nước có thẩm quyền xem xét, giải quyết theo quy định của pháp luật. Việc phản ánh về hành vi có dấu hiệu tham nhũng, vụ việc tham nhũng phải khách quan, trung thực. - Cộng tác với cơ quan, tổ chức, cá nhân có thẩm quyền trong việc xác minh vụ việc tham nhũng khi được yêu cầu. - Kiến nghị với cơ quan nhà nước có thẩm quyền sửa đổi, bổ sung, hoàn thiện cơ chế, chính sách pháp luật về phòng, chống tham nhũng. - Đóng góp ý kiến với các cơ quan nhà nước có thẩm quyền về việc xây dựng các văn bản pháp luật về phòng, chống tham nhũng.",1.0
14,Nhũng nhiễu vì vụ lợi được định nghĩa là gì trong hoạt động của cơ quan công quyền?,"Nhũng nhiễu vì vụ lợi là hành vi lợi dụng sự phức tạp, rườm rà, chưa rõ ràng của các trình tự, thủ tục hành chính để gây khó khăn, phiền hà cho công dân và doanh nghiệp. Mục đích của hành vi này là buộc họ phải đưa quà, tiền, nộp các khoản chi phí ngoài quy định hoặc thực hiện các hành vi khác vì lợi ích của người nhũng nhiễu. Thực chất, đây là hình thức ép buộc đưa hối lộ được che đậy tinh vi.","Tình trạng này có ở hầu hết các cấp, từ trung ương đến địa phương và cần phải được ngăn chặn kịp thời. * Nhũng nhiễu vì vụ lợi: Nhũng nhiễu vì vụ lợi là hành vi thường xuất hiện trong hoạt động của một số cơ quan công quyền, nhất là tại các cơ quan quản lý hành Chủ biên TS. Trần Thành Thọ chính nhà nước, nơi trực tiếp giải quyết công việc của công dân và doanh nghiệp. Sự phức tạp, rườm rà, chưa rõ ràng của một số loại trình tự, thủ tục có thể bị chính những người có chức vụ, quyền hạn lợi dụng để gây khó khăn, phiền hà cho công dân hoặc doanh nghiệp với mục đích buộc công dân và doanh nghiệp phải đưa quà, tiền, nộp những khoản chi phí ngoài quy định, hoặc phải thực hiện những hành vi khác vì lợi ích của người có hành vi nhũng nhiễu. Thực chất của hành vi này là sự ép buộc đưa hối lộ được che đậy dưới hình thức tinh vi rất khó có căn cứ để xử lý.",1.0
15,"Nếu một điều luật mới quy định về việc xóa án tích theo hướng bất lợi hơn, liệu nó có được áp dụng cho tội phạm đã thực hiện trước đó không?","Không. Theo đoạn 2 của ngữ cảnh, điều luật quy định về việc xóa án tích không có lợi cho người phạm tội thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.","Điều luật quy định một tội phạm mới, một hình phạt nặng hơn, một tình tiết tăng nặng mới hoặc hạn chế phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, xóa án tích và quy định khác không có lợi cho người phạm tội, thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",1.0
16,Việc xác định các giai đoạn thực hiện tội phạm có ý nghĩa gì đối với công tác xét xử và định tội danh?,"Dựa trên ngữ cảnh được cung cấp, việc xác định các giai đoạn thực hiện tội phạm có ý nghĩa là: * Làm cơ sở cho việc xác định phạm vi và mức độ trách nhiệm hình sự. * Làm cơ sở cho việc xác định hình phạt.","Các giai đoạn thực hiện tội phạm Các giai đoạn thực hiện tội phạm là các bước của quá trình thực hiện tội phạm với lỗi cố ý, được phân biệt với nhau bởi các dấu hiệu, biển hiện nhằm đánh giá sự diễn biến mức độ thực hiện ý định phạm tội, làm cơ sở cho việc xác định phạm vi và mức độ trách nhiệm hình sự và hình phạt. Quá trình thực hiện tội phạm có ba giai đoạn: giai đoạn chuẩn bị phạm tội, giai đoạn phạm tội chưa đạt và giai đoạn tội phạm đã hoàn thành. Việc xác định các giai đoạn phạm tội chỉ đặt ra trong các tội phạm được thực hiện bằng lỗi cố ý mà không tính đến đối với các tội phạm được thực hiện với lỗi vô ý, bởi vì: Với các hành vi phạm tội có lỗi vô ý, người phạm tội không có ý định phạm tội, không mong muốn hậu quả xảy ra, cho nên các tội với lỗi vô ý chỉ có thể là những tội đã hoàn thành, không có giai đoạn chuẩn bị phạm tội hay phạm tội chưa đạt.",1.0
17,"Người có chức vụ, quyền hạn có trách nhiệm gì đối với tài sản của mình theo quy định của pháp luật?","Theo ngữ cảnh được cung cấp, người có chức vụ, quyền hạn có trách nhiệm kê khai tài sản theo quy định của pháp luật và chịu trách nhiệm về tính chính xác, trung thực của việc kê khai đó.","- Người có chức vụ, quyền hạn có trách nhiệm: + Thực hiện nhiệm vụ, công vụ đúng quy định của pháp luật; + Gương mẫu, liêm khiết; chấp hành nghiêm chỉnh quy định của pháp luật về phòng, chống tham nhũng, quy tắc ứng xử, quy tắc đạo đức nghề nghiệp; + Kê khai tài sản theo quy định của pháp luật và chịu trách nhiệm về tính chính xác, trung thực của việc kê khai đó. Đối với các cơ quan thanh tra, kiểm toán nhà nước, điều tra, Viện kiểm sát, Tòa án là những cơ quan có trách nhiệm và thẩm quyền trực tiếp trong hoạt động phòng, chống và xử lý tham nhũng thì hoạt động chống tham nhũng trong các cơ quan đó phải được kiểm tra, giám sát thường xuyên. Chủ biên TS.",1.0
18,Hệ quả pháp lý đối với một bên trong quan hệ dân sự khi không thực hiện hoặc thực hiện không đúng nghĩa vụ đã cam kết là gì?,"Hệ quả pháp lý là bên đó phải chịu trách nhiệm dân sự, đóng vai trò như một chế tài nhằm hướng các bên phải nghiêm chỉnh thực hiện nghĩa vụ và tự chịu trách nhiệm về việc không thực hiện hoặc thực hiện không đúng nghĩa vụ của mình.","Chủ biên TS. Trần Thành Thọ Trong quan hệ dân sự, việc hòa giải giữa các bên phù hợp với quy định của pháp luật được khuyến khích. Không bên nào được dùng vũ lực hoặc đe dọa dùng vũ lực khi tham gia quan hệ dân sự và giải quyết các tranh chấp dân sự. Nội dung này đã trở thành nguyên tắc được quy định tại Điều 7 BLDS năm 2015. - Quy định trách nhiệm dân sự cho các bên. Phần lớn trong các quan hệ pháp luật sự thì quyền của bên này là nghĩa vụ của bên kia. Tuy nhiên, nếu một bên không thực hiện hoặc thực hiện không đúng nghĩa vụ đã cam kết hoặc thực hiện các hành vi trái pháp luật sẽ ảnh hưởng tới lợi ích của bên kia. Vì vậy, việc quy định trách nhiệm dân sự đối với các bên sẽ tạo ra một chế tài áp dụng nhằm hướng các bên trong quan hệ dân sự phải nghiêm chỉnh thực hiện nghĩa vụ dân sự của mình và tự chịu trách nhiệm về việc không thực hiện hoặc thực hiện không đúng nghĩa vụ.",1.0
19,Hình phạt cải tạo không giam giữ được áp dụng trong khoảng thời gian bao lâu theo Điều 36 BLHS 2015?,"Theo Điều 36 BLHS 2015, hình phạt cải tạo không giam giữ được áp dụng từ 06 tháng đến 03 năm.","2015 quy định; + Người phạm tội rất nghiêm trọng xâm phạm trật tự quản lý kinh tế, môi trường, trật tự công cộng, an toàn công cộng và một số tội phạm khác do BLHS 2015 quy định. Mức tiền phạt được quyết định căn cứ vào tính chất và mức độ nguy hiểm của tội phạm, đồng thời có xét đến tình hình tài sản của người phạm tội, sự biến động của giá cả, nhưng không được thấp hơn 1.000.000 đồng. Cải tạo không giam giữ Cải tạo không giam giữ là hình phạt không bắt buộc người bị kết án phải cách ly khỏi môi trường sống bình thường mà buộc họ tự cải tạo dưới sự giám sát, giáo dục của cơ quan, tổ chức, đơn vị quân đội hoặc cơ sở giáo dục, đào tạo. Theo quy định tại Điều 36 BLHS 2015, cải tạo không giam giữ được áp dụng từ 06 tháng đến 03 năm đối với người phạm tội ít nghiêm trọng, Chủ biên TS.",1.0
20,Việc đảm bảo bình đẳng về địa vị pháp lý trong Luật Dân sự có ý nghĩa gì đối với các chủ thể tham gia?,"Dựa trên ngữ cảnh được cung cấp, việc đảm bảo bình đẳng về địa vị pháp lý trong Luật Dân sự là cơ sở để các chủ thể tham gia vào các quan hệ dân sự với tư cách độc lập, đồng thời xác định các chuẩn mực pháp lý cho cách ứng xử, quyền và nghĩa vụ của họ về nhân thân và tài sản.","Phương pháp điều chỉnh của Luật Dân sự Phương pháp điều chỉnh của Luật Dân sự là cách thức, biện pháp mà nhà nước tác động đến quan hệ tài sản và quan hệ nhân thân làm cho các quan hệ này phát sinh, thay đổi, chấm dứt theo ý chí của nhà nước phù hợp với lợi ích của Nhà nước, xã hội và cá nhân. Mỗi ngành luật điều chỉnh những nhóm quan hệ xã hội khác nhau, vì vậy phương pháp nhà nước sử dụng để tác động vào các quan hệ xã hội đó cũng khác nhau. Phương pháp điều chỉnh của Luật Dân sự có những đặc điểm sau: - Bảo đảm sự bình đẳng về địa vị pháp lý của các chủ thể khi tham gia quan hệ dân sự. Mọi chủ thể khi tham gia vào quan hệ tài sản và quan hệ nhân thân do Luật Dân sự điều chỉnh đều bình đẳng với nhau về quyền và nghĩa vụ pháp lý, không phân biệt về dân tộc, giới tính, thành phần xã hội, hoàn cảnh kinh tế, tín ngưỡng, tôn giáo...",1.0
21,Tại sao không thể xác định năng lực hành vi của một chủ thể nếu chủ thể đó không có năng lực pháp luật?,"Vì nếu không có năng lực pháp luật, chủ thể đó không có khả năng tham gia quan hệ pháp luật để trở thành một bên của quan hệ đó.","Cụ thể là: Nếu chủ thể chỉ có năng lực pháp luật mà không có năng lực hành vi thì không thể tự mình thực hiện được các quyền và nghĩa vụ mà nhà nước đã thừa nhận, không thể tham gia tích cực vào các quan hệ pháp luật bằng chính hành vi của mình. Mặt khác, không thể xác định năng lực hành vi của chủ thể khi chủ thể này không có năng lực pháp luật, tức là nếu không có năng lực pháp luật thì không có khả năng tham gia quan hệ pháp luật để trở thành một bên của quan hệ đó. Ví dụ: Quyền bầu cử HĐND các cấp hoặc Quốc hội là quyền được xác định cho công dân Việt Nam mà không xác định cho người nước ngoài. Theo đó, công dân Việt Nam có năng lực pháp luật trong việc tham gia quan hệ pháp luật bầu cử, còn người nước ngoài không có khả năng này. Vì thế, trong trường hợp này chỉ có thể xác định năng lực hành vi Chủ biên TS.",1.0
22,Tại sao việc chỉ dựa vào tài sản thu hồi được để đánh giá lợi ích của hành vi tham nhũng là chưa đầy đủ?,"Việc chỉ dựa vào tài sản thu hồi được để đánh giá lợi ích của hành vi tham nhũng là chưa đầy đủ vì: - Lợi ích mà chủ thể tham nhũng đạt được rất đa dạng, bao gồm cả lợi ích vật chất và phi vật chất. - Lợi ích vật chất và phi vật chất thường đan xen, khó phân biệt rạch ròi. - Hậu quả vật chất không phải là dấu hiệu bắt buộc trong mọi trường hợp của hành vi tham nhũng.","Lợi ích vật chất hoặc phi vật chất mà chủ thể tham nhũng đạt được rất đa dạng. Nếu chỉ dựa vào tài sản phát hiện được hoặc thu hồi được để đánh giá lợi ích mà chủ thể thực hiện hành vi tham nhũng đạt được thì sẽ không đầy đủ. Hơn thế nữa, lợi ích vật chất và lợi ích phi vật chất nhiều lúc đan xen rất khó phân biệt rạch ròi nên đối với hành vi tham nhũng, hậu quả vật chất không phải trường hợp nào cũng là dấu hiệu bắt buộc.",1.0
